date,channel,campaign,impressions,clicks,conversions,cost,revenue,cpc,cpa,ctr,conversion_rate,roas,roi,profit_margin
2023-11-01,Facebook,Best Sellers,75764,24390,3645,27534.3121224894,136591.81296131175,1.1289180862029273,7.5539950953331685,0.32192070112454463,0.14944649446494465,4.960785377665079,3.9607853776650797,0.7984190155650968
2023-11-01,Facebook,Exclusive Offers,79882,27362,3402,28207.78260938286,142821.77945310835,1.030910847503211,8.291529279653986,0.3425302320923362,0.12433301659235436,5.063204769792894,4.063204769792894,0.8024966309942657
2023-11-01,Facebook,Flash Sale,82355,27350,4269,28519.979928043223,217096.0090552625,1.0427780595262603,6.680716778646808,0.3320988403861332,0.15608775137111516,7.612067385846776,6.612067385846776,0.8686296443119625
2023-11-01,Facebook,Limited Edition,59532,20314,2456,22405.38761103783,74248.43486655927,1.1029530181666747,9.122714825341136,0.34122824699321375,0.12090184109481146,3.3138652254327163,2.3138652254327163,0.6982375769764678
2023-11-01,Facebook,Must-Haves,76115,23283,4124,30655.091489805942,282509.8398179371,1.3166297938326652,7.433339352523264,0.30589239965841164,0.1771249409440364,9.21575588550708,8.215755885507079,0.8914901813347048
2023-11-01,Facebook,New Arrivals,56326,18134,2365,21517.279634539384,109757.63886164942,1.1865710617921796,9.098215490291494,0.32194723573482936,0.13041799933825962,5.10090683979713,4.10090683979713,0.8039564274732428
2023-11-01,Facebook,Trending Now,46441,14383,2214,15517.085963905442,165074.12221214542,1.0788490554060657,7.0086205799030905,0.3097047867186322,0.1539317249530696,10.638216646870886,9.638216646870886,0.9059992822862712
2023-11-02,Facebook,Best Sellers,80089,27115,1744,21654.011602159073,91667.71814167913,0.7985989895688391,12.416291056283873,0.3385608510532033,0.06431864281762861,4.23329034018524,3.233290340185241,0.7637771285122292
2023-11-02,Facebook,Exclusive Offers,67703,19963,1680,17514.849774204886,133078.20320933216,0.8773656150981759,10.425505817979099,0.2948613798502282,0.08415568802284226,7.598021388988673,6.598021388988673,0.8683867879801923
2023-11-02,Facebook,Flash Sale,73298,24553,1517,18676.12513221461,104563.29921795901,0.7606453440400199,12.31122289532934,0.3349750334251958,0.06178471062599275,5.598768399639648,4.598768399639648,0.821389289818746
2023-11-02,Facebook,Limited Edition,63126,20883,1535,18818.110705121428,37519.51242470972,0.9011210412834089,12.259355508222429,0.3308145613534835,0.07350476464109562,1.9937980497956485,0.9937980497956486,0.49844468946968146
2023-11-02,Facebook,Must-Haves,63960,19744,1287,19398.95454911285,73871.08135362402,0.9825240351049862,15.07300275766344,0.30869293308317697,0.06518435980551053,3.8079929084117725,2.807992908411772,0.7373944689363727
2023-11-02,Facebook,New Arrivals,42281,12977,836,11503.541554853746,33031.195432861634,0.8864561574211101,13.760217170877686,0.30692273125044345,0.06442166910688141,2.8713935856496837,1.8713935856496837,0.6517370502610009
2023-11-02,Facebook,Trending Now,42393,14086,1004,12915.534879542312,48526.22709175583,0.9169057844343541,12.864078565281188,0.33227183733163496,0.07127644469686213,3.757198408299715,2.757198408299715,0.7338442394229213
2023-11-03,Facebook,Best Sellers,100163,35211,4537,37640.575237698344,296416.1309341887,1.0690004611541377,8.296357777760269,0.3515369946986412,0.12885177927352248,7.8749096968453784,6.8749096968453784,0.873014416863651
2023-11-03,Facebook,Exclusive Offers,24896,7653,1064,9126.034839962456,31572.36697829564,1.192478092246499,8.577100413498549,0.3073987789203085,0.13903044557689795,3.4595930797942827,2.4595930797942827,0.7109486645003167
2023-11-03,Facebook,Flash Sale,83708,29547,4479,32885.58973133303,323776.3190070473,1.112992511298373,7.342172299918068,0.3529770153390357,0.1515889938064778,9.845537867869123,8.845537867869123,0.8984311458225663
